location,total_death_count
United States,1182424
Brazil,702116
India,533521
Russia,402374
Mexico,334958
United Kingdom,232112
Peru,220831
Italy,196816
Germany,174979
France,167985
Indonesia,162056
Iran,146811
Colombia,142727
Argentina,130608
China,122046
Spain,121852
Poland,120694
Ukraine,109920
South Africa,102595
Turkey,101419
Japan,74694
Romania,68704
Philippines,66864
Chile,64482
Canada,54492
Hungary,49048
Czechia,43498
Vietnam,43206
Greece,38970
Bulgaria,38696
Malaysia,37348
Ecuador,36032
South Korea,35934
Thailand,34576
Belgium,34339
Pakistan,30656
Bangladesh,29492
Tunisia,29423
Portugal,28122
Sweden,27240
Iraq,25375
Australia,24894
Egypt,24830
Netherlands,22986
Austria,22534
Bolivia,22384
Slovakia,21224
Guatemala,20200
Paraguay,19880
Myanmar,19494
Kazakhstan,19072
Croatia,18687
Serbia,18057
Georgia,17132
Sri Lanka,16897
Bosnia and Herzegovina,16387
Morocco,16304
Switzerland,14188
Jordan,14122
Israel,12707
Moldova,12224
Nepal,12031
Finland,11466
Honduras,11114
Lebanon,10947
Azerbaijan,10353
Slovenia,10042
North Macedonia,9976
Lithuania,9801
Saudi Arabia,9646
Denmark,9631
Ireland,9560
Costa Rica,9368
Armenia,8777
Panama,8671
Cuba,8530
Afghanistan,7982
Uruguay,7625
Ethiopia,7574
Latvia,7465
Belarus,7118
Algeria,6881
Libya,6437
Puerto Rico,5938
Venezuela,5856
Zimbabwe,5740
Norway,5732
Palestine,5708
Kenya,5689
Sudan,5046
Oman,4628
Trinidad and Tobago,4390
Dominican Republic,4384
El Salvador,4230
Namibia,4106
Zambia,4069
New Zealand,3882
Uganda,3632
Albania,3605
Jamaica,3595
Kosovo,3212
Syria,3163
Nigeria,3155
Cambodia,3056
Estonia,2997
Botswana,2801
Malawi,2686
Montenegro,2654
Kuwait,2570
United Arab Emirates,2349
Mongolia,2284
Mozambique,2252
Yemen,2159
Singapore,2024
Cameroon,1974
Senegal,1971
Angola,1937
Bahrain,1536
Democratic Republic of Congo,1468
Rwanda,1468
Ghana,1462
Eswatini,1427
Madagascar,1426
Suriname,1405
Cyprus,1365
Somalia,1361
Guyana,1300
Martinique,1104
Mauritius,1070
Kyrgyzstan,1024
Guadeloupe,1021
Uzbekistan,1016
Luxembourg,1000
Mauritania,997
Reunion,921
Malta,904
Fiji,885
Haiti,860
Tanzania,846
Bahamas,844
Cote d'Ivoire,835
Mali,743
Lesotho,709
Qatar,690
Belize,688
Laos,671
Papua New Guinea,670
French Polynesia,650
Barbados,593
Guinea,468
Guam,419
Cape Verde,417
French Guiana,413
Saint Lucia,409
Burkina Faso,400
Congo,389
Gambia,372
Maldives,316
Niger,315
New Caledonia,314
Gabon,307
Curacao,305
Liberia,294
Aruba,292
Togo,290
Nicaragua,245
Grenada,238
Solomon Islands,199
Chad,194
Djibouti,189
Mayotte,187
Iceland,186
Equatorial Guinea,183
Brunei,178
Guinea-Bissau,177
Seychelles,172
Bermuda,165
Benin,163
Jersey,161
Comoros,160
Andorra,159
South Sudan,147
Antigua and Barbuda,146
Timor,138
United States Virgin Islands,132
San Marino,126
Sierra Leone,126
Tajikistan,125
Saint Vincent and the Grenadines,124
Isle of Man,116
Central African Republic,113
Gibraltar,113
Eritrea,103
Sint Maarten (Dutch part),92
Liechtenstein,89
Sao Tome and Principe,80
Dominica,74
Guernsey,67
Monaco,67
Micronesia (country),65
British Virgin Islands,64
Saint Kitts and Nevis,46
Saint Martin (French part),46
Bonaire Sint Eustatius and Saba,41
Northern Mariana Islands,41
Turks and Caicos Islands,40
Cayman Islands,37
American Samoa,34
Samoa,31
Faeroe Islands,28
Kiribati,24
Bhutan,21
Greenland,21
Marshall Islands,17
Burundi,15
Vanuatu,14
Anguilla,12
Tonga,12
Palau,9
Montserrat,8
Wallis and Futuna,8
Saint Barthelemy,5
Cook Islands,2
Saint Pierre and Miquelon,2
Nauru,1
Tuvalu,1
England,
Falkland Islands,
Hong Kong,
Macao,
Niue,
North Korea,
Northern Cyprus,
Northern Ireland,
Pitcairn,
Saint Helena,
Scotland,
Taiwan,
Tokelau,
Turkmenistan,
Vatican,
Wales,
Western Sahara,
