location,date,total_cases,total_deaths,death_percentage
Nigeria,1/1/2021,83576,1247,1.4921
Nigeria,1/1/2022,236014,3014,1.2770
Nigeria,1/1/2023,266450,3155,1.1841
Nigeria,1/1/2024,267188,3155,1.1808
Nigeria,1/10/2020,,,
Nigeria,1/10/2021,99063,1350,1.3628
Nigeria,1/10/2022,247775,3071,1.2394
Nigeria,1/10/2023,266463,3155,1.1840
Nigeria,1/10/2024,267188,3155,1.1808
Nigeria,1/11/2020,,,
Nigeria,1/11/2021,99063,1350,1.3628
Nigeria,1/11/2022,247775,3071,1.2394
Nigeria,1/11/2023,266463,3155,1.1840
Nigeria,1/11/2024,267188,3155,1.1808
Nigeria,1/12/2020,,,
Nigeria,1/12/2021,99063,1350,1.3628
Nigeria,1/12/2022,247775,3071,1.2394
Nigeria,1/12/2023,266463,3155,1.1840
Nigeria,1/12/2024,267188,3155,1.1808
Nigeria,1/13/2020,,,
Nigeria,1/13/2021,99063,1350,1.3628
Nigeria,1/13/2022,247775,3071,1.2394
Nigeria,1/13/2023,266463,3155,1.1840
Nigeria,1/13/2024,267188,3155,1.1808
Nigeria,1/14/2020,,,
Nigeria,1/14/2021,99063,1350,1.3628
Nigeria,1/14/2022,247775,3071,1.2394
Nigeria,1/14/2023,266463,3155,1.1840
Nigeria,1/14/2024,267188,3155,1.1808
Nigeria,1/15/2020,,,
Nigeria,1/15/2021,99063,1350,1.3628
Nigeria,1/15/2022,247775,3071,1.2394
Nigeria,1/15/2023,266463,3155,1.1840
Nigeria,1/15/2024,267188,3155,1.1808
Nigeria,1/16/2020,,,
Nigeria,1/16/2021,99063,1350,1.3628
Nigeria,1/16/2022,250628,3095,1.2349
Nigeria,1/16/2023,266463,3155,1.1840
Nigeria,1/16/2024,267188,3155,1.1808
Nigeria,1/17/2020,,,
Nigeria,1/17/2021,108943,1420,1.3034
Nigeria,1/17/2022,250628,3095,1.2349
Nigeria,1/17/2023,266463,3155,1.1840
Nigeria,1/17/2024,267188,3155,1.1808
Nigeria,1/18/2020,,,
Nigeria,1/18/2021,108943,1420,1.3034
Nigeria,1/18/2022,250628,3095,1.2349
Nigeria,1/18/2023,266463,3155,1.1840
Nigeria,1/18/2024,267188,3155,1.1808
Nigeria,1/19/2020,,,
Nigeria,1/19/2021,108943,1420,1.3034
Nigeria,1/19/2022,250628,3095,1.2349
Nigeria,1/19/2023,266463,3155,1.1840
Nigeria,1/19/2024,267188,3155,1.1808
Nigeria,1/2/2021,83576,1247,1.4921
Nigeria,1/2/2022,242877,3033,1.2488
Nigeria,1/2/2023,266450,3155,1.1841
Nigeria,1/2/2024,267188,3155,1.1808
Nigeria,1/20/2020,,,
Nigeria,1/20/2021,108943,1420,1.3034
Nigeria,1/20/2022,250628,3095,1.2349
Nigeria,1/20/2023,266463,3155,1.1840
Nigeria,1/20/2024,267188,3155,1.1808
Nigeria,1/21/2020,,,
Nigeria,1/21/2021,108943,1420,1.3034
Nigeria,1/21/2022,250628,3095,1.2349
Nigeria,1/21/2023,266463,3155,1.1840
Nigeria,1/21/2024,267188,3155,1.1808
Nigeria,1/22/2020,,,
Nigeria,1/22/2021,108943,1420,1.3034
Nigeria,1/22/2022,250628,3095,1.2349
Nigeria,1/22/2023,266463,3155,1.1840
Nigeria,1/22/2024,267188,3155,1.1808
Nigeria,1/23/2020,,,
Nigeria,1/23/2021,108943,1420,1.3034
Nigeria,1/23/2022,251959,3124,1.2399
Nigeria,1/23/2023,266463,3155,1.1840
Nigeria,1/23/2024,267188,3155,1.1808
Nigeria,1/24/2020,,,
Nigeria,1/24/2021,120602,1495,1.2396
Nigeria,1/24/2022,251959,3124,1.2399
Nigeria,1/24/2023,266463,3155,1.1840
Nigeria,1/24/2024,267188,3155,1.1808
Nigeria,1/25/2020,,,
Nigeria,1/25/2021,120602,1495,1.2396
Nigeria,1/25/2022,251959,3124,1.2399
Nigeria,1/25/2023,266463,3155,1.1840
Nigeria,1/25/2024,267188,3155,1.1808
Nigeria,1/26/2020,,,
Nigeria,1/26/2021,120602,1495,1.2396
Nigeria,1/26/2022,251959,3124,1.2399
Nigeria,1/26/2023,266463,3155,1.1840
Nigeria,1/26/2024,267188,3155,1.1808
Nigeria,1/27/2020,,,
Nigeria,1/27/2021,120602,1495,1.2396
Nigeria,1/27/2022,251959,3124,1.2399
Nigeria,1/27/2023,266463,3155,1.1840
Nigeria,1/27/2024,267188,3155,1.1808
Nigeria,1/28/2020,,,
Nigeria,1/28/2021,120602,1495,1.2396
Nigeria,1/28/2022,251959,3124,1.2399
Nigeria,1/28/2023,266463,3155,1.1840
Nigeria,1/28/2024,267188,3155,1.1808
Nigeria,1/29/2020,,,
Nigeria,1/29/2021,120602,1495,1.2396
Nigeria,1/29/2022,251959,3124,1.2399
Nigeria,1/29/2023,266463,3155,1.1840
Nigeria,1/29/2024,267188,3155,1.1808
Nigeria,1/3/2021,89163,1302,1.4602
Nigeria,1/3/2022,242877,3033,1.2488
Nigeria,1/3/2023,266450,3155,1.1841
Nigeria,1/3/2024,267188,3155,1.1808
Nigeria,1/30/2020,,,
Nigeria,1/30/2021,120602,1495,1.2396
Nigeria,1/30/2022,253020,3135,1.2390
Nigeria,1/30/2023,266463,3155,1.1840
Nigeria,1/30/2024,267188,3155,1.1808
Nigeria,1/31/2020,,,
Nigeria,1/31/2021,130557,1578,1.2087
Nigeria,1/31/2022,253020,3135,1.2390
Nigeria,1/31/2023,266463,3155,1.1840
Nigeria,1/31/2024,267188,3155,1.1808
Nigeria,1/4/2021,89163,1302,1.4602
Nigeria,1/4/2022,242877,3033,1.2488
Nigeria,1/4/2023,266450,3155,1.1841
Nigeria,1/4/2024,267188,3155,1.1808
Nigeria,1/5/2020,,,
Nigeria,1/5/2021,89163,1302,1.4602
Nigeria,1/5/2022,242877,3033,1.2488
Nigeria,1/5/2023,266450,3155,1.1841
Nigeria,1/5/2024,267188,3155,1.1808
Nigeria,1/6/2020,,,
Nigeria,1/6/2021,89163,1302,1.4602
Nigeria,1/6/2022,242877,3033,1.2488
Nigeria,1/6/2023,266450,3155,1.1841
Nigeria,1/6/2024,267188,3155,1.1808
Nigeria,1/7/2020,,,
Nigeria,1/7/2021,89163,1302,1.4602
Nigeria,1/7/2022,242877,3033,1.2488
Nigeria,1/7/2023,266450,3155,1.1841
Nigeria,1/7/2024,267188,3155,1.1808
Nigeria,1/8/2020,,,
Nigeria,1/8/2021,89163,1302,1.4602
Nigeria,1/8/2022,242877,3033,1.2488
Nigeria,1/8/2023,266463,3155,1.1840
Nigeria,1/8/2024,267188,3155,1.1808
Nigeria,1/9/2020,,,
Nigeria,1/9/2021,89163,1302,1.4602
Nigeria,1/9/2022,247775,3071,1.2394
Nigeria,1/9/2023,266463,3155,1.1840
Nigeria,1/9/2024,267188,3155,1.1808
Nigeria,10/1/2020,58198,1106,1.9004
