location,population,highest_infection_count,affected_population
Brunei,449002,343653,0.7654
Cyprus,896007,681110,0.7602
San Marino,33690,25292,0.7507
Austria,8939617,6081287,0.6803
South Korea,51815808,34571873,0.6672
Faeroe Islands,53117,34658,0.6525
Slovenia,2119843,1355814,0.6396
Gibraltar,32677,20550,0.6289
Martinique,367512,230354,0.6268
Luxembourg,647601,391229,0.6041
Andorra,79843,48015,0.6014
Jersey,110796,66391,0.5992
Denmark,5882259,3434511,0.5839
Saint Pierre and Miquelon,5885,3426,0.5822
France,67813000,38997490,0.5751
Iceland,372903,209913,0.5629
Guernsey,63329,35326,0.5578
Portugal,10270857,5642999,0.5494
Liechtenstein,39355,21574,0.5482
Greece,10384972,5626890,0.5418
Singapore,5637022,3006155,0.5333
Latvia,1850654,977701,0.5283
Guadeloupe,395762,203235,0.5135
Israel,9449000,4841558,0.5124
Switzerland,8740471,4452907,0.5095
Niue,1952,993,0.5087
Reunion,974062,494595,0.5078
Falkland Islands,3801,1923,0.5059
Saint Barthelemy,10994,5507,0.5009
Georgia,3744385,1862085,0.4973
Lithuania,2750058,1365371,0.4965
Netherlands,17564020,8635672,0.4917
Seychelles,107135,51656,0.4822
New Zealand,5185289,2499815,0.4821
Bahrain,1472237,696614,0.4732
Monaco,36491,17181,0.4708
Germany,83369840,38437756,0.4611
Estonia,1326064,610226,0.4602
Cayman Islands,68722,31472,0.4580
Czechia,10493990,4758766,0.4535
Italy,59037472,26717246,0.4525
Australia,26177410,11812024,0.4512
Isle of Man,84534,38008,0.4496
Bonaire Sint Eustatius and Saba,27052,11922,0.4407
Nauru,12691,5393,0.4249
Cook Islands,17032,7203,0.4229
Belgium,11655923,4860586,0.4170
Aruba,106459,44224,0.4154
Saint Helena,5401,2166,0.4010
Montenegro,627082,251280,0.4007
Marshall Islands,41593,16138,0.3880
Saint Martin (French part),31816,12324,0.3874
Puerto Rico,3252412,1252713,0.3852
Barbados,281646,108075,0.3837
Serbia,6871547,2583470,0.3760
United Kingdom,67508936,24911885,0.3690
Maldives,523798,186694,0.3564
Palau,18084,6265,0.3464
Ireland,5023108,1734839,0.3454
Slovakia,5643455,1877633,0.3327
Croatia,4030361,1309728,0.3250
French Guiana,304568,98041,0.3219
Montserrat,4413,1403,0.3179
Wallis and Futuna,11596,3550,0.3061
United States,338289856,103436829,0.3058
Guam,171783,52287,0.3044
Uruguay,3422796,1037893,0.3032
Mongolia,3398373,1011503,0.2976
Spain,47558632,13980340,0.2940
Bermuda,64207,18860,0.2937
Northern Mariana Islands,49574,14341,0.2893
Norway,5434324,1507093,0.2773
New Caledonia,289959,80064,0.2761
Japan,123951696,33803572,0.2727
Chile,19603736,5343520,0.2726
Finland,5540745,1499712,0.2707
Sweden,10549349,2751264,0.2608
Tuvalu,11335,2943,0.2596
French Polynesia,306292,79254,0.2588
United States Virgin Islands,99479,25389,0.2552
Mauritius,1299478,327256,0.2518
Sint Maarten (Dutch part),44192,11051,0.2501
Anguilla,15877,3904,0.2459
Curacao,191173,45883,0.2400
Costa Rica,5180836,1230653,0.2375
British Virgin Islands,31332,7392,0.2359
Panama,4408582,1039444,0.2358
Micronesia (country),114178,26547,0.2325
Malta,533293,121404,0.2276
Lebanon,5489744,1239904,0.2259
Hungary,9967304,2230249,0.2238
Argentina,45510324,10095225,0.2218
Dominica,72758,15760,0.2166
Greenland,56494,11971,0.2119
Turkey,85341248,17004681,0.1993
Bulgaria,6781955,1329041,0.1960
Moldova,3272993,635245,0.1941
Qatar,2695131,514524,0.1909
American Samoa,44295,8359,0.1887
Romania,19659270,3525696,0.1793
Belize,405285,70808,0.1747
Brazil,215313504,37519960,0.1743
North Macedonia,2093606,350573,0.1674
Saint Lucia,179872,30073,0.1672
Poland,39857144,6661489,0.1671
Russia,144713312,24031776,0.1661
Armenia,2780472,451831,0.1625
Tonga,106867,16950,0.1586
Grenada,125459,19693,0.1570
Kuwait,4268886,667165,0.1563
Malaysia,33938216,5276312,0.1555
Jordan,11285875,1746997,0.1548
Kosovo,1782115,274279,0.1539
Turks and Caicos Islands,45726,6750,0.1476
Ukraine,39701744,5532818,0.1394
Saint Kitts and Nevis,47681,6607,0.1386
Palestine,5250076,703228,0.1339
Suriname,618046,82496,0.1335
Peru,34049588,4524748,0.1329
Mayotte,326113,42027,0.1289
Botswana,2630300,330638,0.1257
Trinidad and Tobago,1531043,191496,0.1251
Bosnia and Herzegovina,3233530,403603,0.1248
Canada,38454328,4785855,0.1245
Colombia,51874028,6384097,0.1231
Vietnam,98186856,11624000,0.1184
Albania,2842318,334863,0.1178
United Arab Emirates,9441138,1067030,0.1130
Cape Verde,593162,64474,0.1087
Paraguay,6780745,735759,0.1085
Belarus,9534956,994037,0.1043
Cuba,11212198,1115043,0.0994
Bolivia,12224114,1198018,0.0980
Antigua and Barbuda,93772,9106,0.0971
Tunisia,12356116,1153361,0.0933
Saint Vincent and the Grenadines,103959,9674,0.0931
Bahamas,409989,38084,0.0929
Guyana,808727,73947,0.0914
Oman,4576300,399449,0.0873
Iran,88550568,7627186,0.0861
Pitcairn,47,4,0.0851
Azerbaijan,10358078,835219,0.0806
Bhutan,782457,62697,0.0801
Kazakhstan,19397998,1503687,0.0775
Samoa,222390,16962,0.0763
Libya,6812344,507269,0.0745
Fiji,929769,69047,0.0743
Guatemala,17843914,1250295,0.0701
China,1425887360,99343195,0.0697
South Africa,59893884,4072636,0.0680
Namibia,2567024,172399,0.0672
Thailand,71697024,4768647,0.0665
Eswatini,1201680,75191,0.0626
Mexico,127504120,7702809,0.0604
Ecuador,18001002,1068532,0.0594
Dominican Republic,11228821,661103,0.0589
Jamaica,2827382,156797,0.0555
Iraq,44496124,2465545,0.0554
Honduras,10432858,472783,0.0453
Tokelau,1893,80,0.0423
Kiribati,131237,5085,0.0387
Vanuatu,326744,12019,0.0368
Philippines,115559008,4173631,0.0361
Solomon Islands,724272,25954,0.0358
Morocco,37457976,1279006,0.0341
Nepal,30547586,1003450,0.0328
Vatican,808,26,0.0322
El Salvador,6336393,201813,0.0318
India,1417173120,45032655,0.0318
Sri Lanka,21832150,672751,0.0308
Sao Tome and Principe,227393,6736,0.0296
Laos,7529477,218955,0.0291
Indonesia,275501344,6828884,0.0248
Saudi Arabia,36408824,841469,0.0231
Gabon,2388997,49051,0.0205
Venezuela,28301700,552695,0.0195
Timor,1341298,23460,0.0175
Zambia,20017670,349404,0.0175
Zimbabwe,16320539,266359,0.0163
Lesotho,2305826,36138,0.0157
Djibouti,1120851,15690,0.0140
Mauritania,4736146,63848,0.0135
Kyrgyzstan,6630621,88953,0.0134
Bangladesh,171186368,2049155,0.0120
Myanmar,54179312,641895,0.0118
Comoros,836783,9109,0.0109
Equatorial Guinea,1674916,17130,0.0102
Rwanda,13776702,133218,0.0097
Cambodia,16767851,139097,0.0083
Mozambique,32969520,233765,0.0071
Pakistan,235824864,1580631,0.0067
Kenya,54027484,344094,0.0064
Algeria,44903228,272010,0.0061
Afghanistan,41128772,232403,0.0057
Ghana,33475870,171839,0.0051
Senegal,17316452,89056,0.0051
Uzbekistan,34627648,175081,0.0051
Gambia,2705995,12626,0.0047
Egypt,110990096,516023,0.0046
Guinea-Bissau,2105580,9614,0.0046
Papua New Guinea,10142625,46864,0.0046
Cameroon,27914542,125137,0.0045
Togo,8848700,39528,0.0045
Malawi,20405318,89168,0.0044
Burundi,12889583,54565,0.0042
Congo,5970430,25215,0.0042
Ethiopia,123379928,501157,0.0041
Uganda,47249588,172149,0.0036
Cote d'Ivoire,28160548,88384,0.0031
Angola,35588996,107327,0.0030
Haiti,11585003,34298,0.0030
Central African Republic,5579148,15440,0.0028
Eritrea,3684041,10189,0.0028
Guinea,13859349,38572,0.0028
Syria,22125242,57423,0.0026
Madagascar,29611718,68490,0.0023
Nicaragua,6948395,15733,0.0023
Benin,13352864,28036,0.0021
Tajikistan,9952789,17786,0.0018
South Sudan,10913172,18819,0.0017
Somalia,17597508,27334,0.0016
Liberia,5302690,8090,0.0015
Mali,22593598,33164,0.0015
Sudan,46874200,63993,0.0014
Nigeria,218541216,267188,0.0012
Burkina Faso,22673764,22109,0.0010
Democratic Republic of Congo,99010216,99338,0.0010
Sierra Leone,8605723,7779,0.0009
Tanzania,65497752,43223,0.0007
Chad,17723312,7698,0.0004
Niger,26207982,9515,0.0004
Yemen,33696612,11945,0.0004
England,56550000,,
Hong Kong,7488863,,
Macao,695180,,
North Korea,26069416,,
Northern Cyprus,382836,,
Northern Ireland,1896000,,
Scotland,5466000,,
Taiwan,23893396,,
Turkmenistan,6430777,,
Wales,3170000,,
Western Sahara,576005,,
