date,SUM(new_cases),SUM(new_deaths)
1/5/2020,2,3
1/6/2020,0,0
1/7/2020,0,0
1/8/2020,0,0
1/9/2020,0,0
1/10/2020,0,0
1/11/2020,0,0
1/12/2020,45,1
1/13/2020,0,0
1/14/2020,0,0
1/15/2020,0,0
1/16/2020,0,0
1/17/2020,0,0
1/18/2020,0,0
1/19/2020,90,2
1/20/2020,0,0
1/21/2020,0,0
1/22/2020,0,0
1/23/2020,0,0
1/24/2020,0,0
1/25/2020,0,0
1/26/2020,1896,56
1/27/2020,0,0
1/28/2020,0,0
1/29/2020,0,0
1/30/2020,0,0
1/31/2020,0,0
2/1/2020,0,0
2/2/2020,12538,310
2/3/2020,0,0
2/4/2020,0,0
2/5/2020,0,0
2/6/2020,0,0
2/7/2020,0,0
2/8/2020,0,0
2/9/2020,22985,545
2/10/2020,0,0
2/11/2020,0,0
2/12/2020,0,0
2/13/2020,0,0
2/14/2020,0,0
2/15/2020,0,0
2/16/2020,31449,864
2/17/2020,0,0
2/18/2020,0,0
2/19/2020,0,0
2/20/2020,0,0
2/21/2020,0,0
2/22/2020,0,0
2/23/2020,9242,690
2/24/2020,0,0
2/25/2020,0,0
2/26/2020,0,0
2/27/2020,0,0
2/28/2020,0,0
2/29/2020,0,0
3/1/2020,8267,515
3/2/2020,0,0
3/3/2020,0,0
3/4/2020,0,0
3/5/2020,0,0
3/6/2020,0,0
3/7/2020,0,0
3/8/2020,20207,649
3/9/2020,0,0
3/10/2020,0,0
3/11/2020,0,0
3/12/2020,0,0
3/13/2020,0,0
3/14/2020,0,0
3/15/2020,60434,2654
3/16/2020,0,0
3/17/2020,0,0
3/18/2020,0,0
3/19/2020,0,0
3/20/2020,0,0
3/21/2020,0,0
3/22/2020,171320,9697
3/23/2020,0,0
3/24/2020,0,0
3/25/2020,0,0
3/26/2020,0,0
3/27/2020,0,0
3/28/2020,0,0
3/29/2020,351479,22283
3/30/2020,0,0
3/31/2020,0,0
4/1/2020,0,0
4/2/2020,0,0
4/3/2020,0,0
4/4/2020,0,0
4/5/2020,466289,36846
4/6/2020,0,0
4/7/2020,0,0
4/8/2020,0,0
4/9/2020,0,0
4/10/2020,0,0
4/11/2020,0,0
